Human_Ensembl1,Human_Ensembl2,pdbid,is_true_contact,interface_area,direct_contact_prob,pearson_correlation_coefficient,unique_values1,unique_values2
ENSG00000067596,ENSG00000096401,5mqf,0,None,0,-0.001976555,,
ENSG00000067596,ENSG00000137168,5mqf,0,None,0,0.024082004,,
ENSG00000067596,ENSG00000100028,5mqf,0,None,0,-0.083360317,,
ENSG00000067596,ENSG00000168438,5mqf,0,None,0,0.056269395,,
ENSG00000067596,ENSG00000167088,5mqf,0,None,0,0.022191217,,
ENSG00000067596,ENSG00000174231,5mqf,0,None,0,-0.044928391,,
ENSG00000067596,ENSG00000100603,5mqf,0,None,0,0.089820373,,
ENSG00000067596,ENSG00000125743,5mqf,0,None,0,-0.085199513,,
ENSG00000067596,ENSG00000163510,5mqf,0,None,0,0.119201254,,
ENSG00000067596,ENSG00000116752,5mqf,0,None,0,-0.017330967,,
ENSG00000067596,ENSG00000182004,5mqf,0,None,0,-0.024284591,,
ENSG00000067596,ENSG00000131876,5mqf,0,None,0,0.004215759,,
ENSG00000067596,ENSG00000086589,5mqf,0,None,0,0.014592606,,
ENSG00000076924,ENSG00000084072,5mqf,0,None,0.05,0.475508173,,
ENSG00000076924,ENSG00000131876,5mqf,1,13.2,0,0.344090301,,
ENSG00000076924,ENSG00000096401,5mqf,1,43.8,0,0.127961191,,
ENSG00000076924,ENSG00000101343,5mqf,1,188.5,0,0.068445962,,
ENSG00000076924,ENSG00000141543,5mqf,0,None,0,-0.013432813,,
ENSG00000076924,ENSG00000167978,5mqf,0,None,0,-0.026406069,,
ENSG00000076924,ENSG00000137168,5mqf,0,None,0,-0.002672895,,
ENSG00000076924,ENSG00000100028,5mqf,0,None,0,0.061560486,,
ENSG00000076924,ENSG00000168438,5mqf,0,None,0,-0.036145164,,
ENSG00000076924,ENSG00000167088,5mqf,0,None,0,0.100282496,,
ENSG00000076924,ENSG00000174231,5mqf,0,None,0,-0.013508368,,
ENSG00000076924,ENSG00000100603,5mqf,0,None,0,-0.003512122,,
ENSG00000076924,ENSG00000125743,5mqf,0,None,0,0.049845771,,
ENSG00000076924,ENSG00000163510,5mqf,0,None,0,0.105009212,,
ENSG00000076924,ENSG00000116752,5mqf,0,None,0,0.103793644,,
ENSG00000076924,ENSG00000182004,5mqf,0,None,0,-0.003488834,,
ENSG00000076924,ENSG00000086589,5mqf,0,None,0,0.000978698,,
ENSG00000084072,ENSG00000101343,5mqf,0,None,0,0.008343224,,
ENSG00000084072,ENSG00000167978,5mqf,0,None,0,-0.019553009,,
ENSG00000084072,ENSG00000096401,5mqf,0,None,0,0.093134887,,
ENSG00000084072,ENSG00000137168,5mqf,0,None,0,0.020058425,,
ENSG00000084072,ENSG00000100028,5mqf,0,None,0,0.042123299,,
ENSG00000084072,ENSG00000168438,5mqf,0,None,0,0.024776356,,
ENSG00000084072,ENSG00000167088,5mqf,0,None,0,0.064676406,,
ENSG00000084072,ENSG00000174231,5mqf,0,None,0,0.005014238,,
ENSG00000084072,ENSG00000100603,5mqf,0,None,0,0.029714879,,
ENSG00000084072,ENSG00000125743,5mqf,0,None,0,0.102091167,,
ENSG00000084072,ENSG00000163510,5mqf,0,None,0,0.022380061,,
ENSG00000084072,ENSG00000116752,5mqf,0,None,0,0.071549045,,
ENSG00000084072,ENSG00000182004,5mqf,0,None,0,-0.011276387,,
ENSG00000084072,ENSG00000131876,5mqf,0,None,0,0.328128209,,
ENSG00000084072,ENSG00000086589,5mqf,0,None,0,-0.006114922,,
ENSG00000096401,ENSG00000116752,5mqf,1,970.2,0.8,0.90322058,,
ENSG00000096401,ENSG00000131876,5mqf,0,None,0.05,0.243380413,,
ENSG00000096401,ENSG00000086589,5mqf,1,92.8,0,-0.018507663,,
ENSG00000096401,ENSG00000100603,5mqf,1,249,0,-0.011359639,,
ENSG00000096401,ENSG00000168438,5mqf,1,253.9,0,0.02879364,,
ENSG00000096401,ENSG00000174231,5mqf,1,263,0,0.004849228,,
ENSG00000096401,ENSG00000137168,5mqf,0,None,0,-0.018337416,,
ENSG00000096401,ENSG00000100028,5mqf,0,None,0,0.13128952,,
ENSG00000096401,ENSG00000167088,5mqf,0,None,0,0.136309682,,
ENSG00000096401,ENSG00000125743,5mqf,0,None,0,0.145914909,,
ENSG00000096401,ENSG00000163510,5mqf,0,None,0,0.010294122,,
ENSG00000096401,ENSG00000182004,5mqf,0,None,0,-0.005082662,,
ENSG00000100028,ENSG00000125743,5mqf,0,None,1,0.664658339,,
ENSG00000100028,ENSG00000168438,5mqf,0,None,0,-0.008498191,,
ENSG00000100028,ENSG00000167088,5mqf,0,None,0,0.451668213,,
ENSG00000100028,ENSG00000174231,5mqf,0,None,0,0.304116559,,
ENSG00000100028,ENSG00000100603,5mqf,0,None,0,-0.008632956,,
ENSG00000100028,ENSG00000163510,5mqf,0,None,0,0.063800999,,
ENSG00000100028,ENSG00000116752,5mqf,0,None,0,0.139863117,,
ENSG00000100028,ENSG00000182004,5mqf,0,None,0,0.146762189,,
ENSG00000100028,ENSG00000131876,5mqf,0,None,0,0.106194895,,
ENSG00000100028,ENSG00000086589,5mqf,0,None,0,-0.038083056,,
ENSG00000100603,ENSG00000086589,5mqf,1,791.7,0,0.018909932,,
ENSG00000100603,ENSG00000125743,5mqf,0,None,0,0.011039827,,
ENSG00000100603,ENSG00000163510,5mqf,0,None,0,0.016976536,,
ENSG00000100603,ENSG00000116752,5mqf,0,None,0,0.015834561,,
ENSG00000100603,ENSG00000182004,5mqf,0,None,0,-0.00179033,,
ENSG00000100603,ENSG00000131876,5mqf,0,None,0,-0.032268766,,
ENSG00000101343,ENSG00000168438,5mqf,1,112.1,0,-0.063312645,,
ENSG00000101343,ENSG00000100603,5mqf,1,354.9,0,0.044623397,,
ENSG00000101343,ENSG00000096401,5mqf,1,858.4,0,-0.027379538,,
ENSG00000101343,ENSG00000167978,5mqf,0,None,0,-0.062322141,,
ENSG00000101343,ENSG00000137168,5mqf,0,None,0,0.008455122,,
ENSG00000101343,ENSG00000100028,5mqf,0,None,0,-0.093691917,,
ENSG00000101343,ENSG00000167088,5mqf,0,None,0,0.003986924,,
ENSG00000101343,ENSG00000174231,5mqf,0,None,0,-0.011487235,,
ENSG00000101343,ENSG00000125743,5mqf,0,None,0,-0.084047214,,
ENSG00000101343,ENSG00000163510,5mqf,0,None,0,0.232525718,,
ENSG00000101343,ENSG00000116752,5mqf,0,None,0,-0.026233885,,
ENSG00000101343,ENSG00000182004,5mqf,0,None,0,0.007288171,,
ENSG00000101343,ENSG00000131876,5mqf,0,None,0,-0.033861908,,
ENSG00000101343,ENSG00000086589,5mqf,0,None,0,0.017027341,,
ENSG00000106245,ENSG00000100603,5mqf,1,15,0,-0.001660173,,
ENSG00000106245,ENSG00000086589,5mqf,1,104.8,0,-0.021574091,,
ENSG00000106245,ENSG00000174231,5mqf,1,298.2,0,-0.016095322,,
ENSG00000106245,ENSG00000060688,5mqf,0,None,0,0.169086492,,
ENSG00000106245,ENSG00000117614,5mqf,0,None,0,-0.026123347,,
ENSG00000106245,ENSG00000125835,5mqf,0,None,0,0,,
ENSG00000106245,ENSG00000125870,5mqf,0,None,0,-0.019770972,,
ENSG00000106245,ENSG00000108883,5mqf,0,None,0,-0.020835204,,
ENSG00000106245,ENSG00000143977,5mqf,0,None,0,0.002870513,,
ENSG00000106245,ENSG00000067596,5mqf,0,None,0,0.002996858,,
ENSG00000106245,ENSG00000139343,5mqf,0,None,0,0.008792991,,
ENSG00000106245,ENSG00000171566,5mqf,0,None,0,-0.018581278,,
ENSG00000106245,ENSG00000021776,5mqf,0,None,0,-0.009487147,,
ENSG00000106245,ENSG00000110107,5mqf,0,None,0,-0.017990346,,
ENSG00000106245,ENSG00000076924,5mqf,0,None,0,-0.003714597,,
ENSG00000106245,ENSG00000141543,5mqf,0,None,0,-0.011220384,,
ENSG00000106245,ENSG00000084072,5mqf,0,None,0,0.017210377,,
ENSG00000106245,ENSG00000101343,5mqf,0,None,0,-0.007039308,,
ENSG00000106245,ENSG00000167978,5mqf,0,None,0,-0.02931889,,
ENSG00000106245,ENSG00000096401,5mqf,0,None,0,-0.018986756,,
ENSG00000106245,ENSG00000137168,5mqf,0,None,0,-0.016022183,,
ENSG00000106245,ENSG00000100028,5mqf,0,None,0,0.09261623,,
ENSG00000106245,ENSG00000168438,5mqf,0,None,0,0.031165001,,
ENSG00000106245,ENSG00000167088,5mqf,0,None,0,0.033667728,,
ENSG00000106245,ENSG00000125743,5mqf,0,None,0,0.081264164,,
ENSG00000106245,ENSG00000163510,5mqf,0,None,0,-0.00137719,,
ENSG00000106245,ENSG00000116752,5mqf,0,None,0,-0.017259641,,
ENSG00000106245,ENSG00000182004,5mqf,0,None,0,-0.001810306,,
ENSG00000106245,ENSG00000131876,5mqf,0,None,0,-0.015960445,,
ENSG00000108883,ENSG00000174231,5mqf,1,1968.4,1,0.944687621,,
ENSG00000108883,ENSG00000143977,5mqf,1,46.8,0,0.012633262,,
ENSG00000108883,ENSG00000100028,5mqf,1,259.1,0,0.313580148,,
ENSG00000108883,ENSG00000171566,5mqf,1,504.8,0,-0.010843789,,
ENSG00000108883,ENSG00000067596,5mqf,0,None,0,-0.058524605,,
ENSG00000108883,ENSG00000139343,5mqf,0,None,0,0.03047834,,
ENSG00000108883,ENSG00000021776,5mqf,0,None,0,-0.007901742,,
ENSG00000108883,ENSG00000110107,5mqf,0,None,0,0.007057844,,
ENSG00000108883,ENSG00000076924,5mqf,0,None,0,-0.017260028,,
ENSG00000108883,ENSG00000141543,5mqf,0,None,0,-0.016893058,,
ENSG00000108883,ENSG00000084072,5mqf,0,None,0,-0.001030581,,
ENSG00000108883,ENSG00000101343,5mqf,0,None,0,-0.019205635,,
ENSG00000108883,ENSG00000167978,5mqf,0,None,0,0.014872504,,
ENSG00000108883,ENSG00000096401,5mqf,0,None,0,0.005795653,,
ENSG00000108883,ENSG00000137168,5mqf,0,None,0,-0.026026251,,
ENSG00000108883,ENSG00000168438,5mqf,0,None,0,0.048575476,,
ENSG00000108883,ENSG00000167088,5mqf,0,None,0,0.297358073,,
ENSG00000108883,ENSG00000100603,5mqf,0,None,0,-0.020288794,,
ENSG00000108883,ENSG00000125743,5mqf,0,None,0,0.322767224,,
ENSG00000108883,ENSG00000163510,5mqf,0,None,0,-0.006665273,,
ENSG00000108883,ENSG00000116752,5mqf,0,None,0,-0.005862348,,
ENSG00000108883,ENSG00000182004,5mqf,0,None,0,0.243466348,,
ENSG00000108883,ENSG00000131876,5mqf,0,None,0,-0.003897255,,
ENSG00000108883,ENSG00000086589,5mqf,0,None,0,-0.029150749,,
ENSG00000110107,ENSG00000116752,5mqf,1,44.5,0.6,0.817283747,,
ENSG00000110107,ENSG00000096401,5mqf,1,171.4,0.15,0.848852275,,
ENSG00000110107,ENSG00000076924,5mqf,0,None,0,0.133469869,,
ENSG00000110107,ENSG00000141543,5mqf,0,None,0,0.216283438,,
ENSG00000110107,ENSG00000084072,5mqf,0,None,0,0.105795511,,
ENSG00000110107,ENSG00000101343,5mqf,0,None,0,-0.040927767,,
ENSG00000110107,ENSG00000167978,5mqf,0,None,0,-0.032215699,,
ENSG00000110107,ENSG00000137168,5mqf,0,None,0,-0.024270614,,
ENSG00000110107,ENSG00000100028,5mqf,0,None,0,0.153675548,,
ENSG00000110107,ENSG00000168438,5mqf,0,None,0,0.034096291,,
ENSG00000110107,ENSG00000167088,5mqf,0,None,0,0.185208482,,
ENSG00000110107,ENSG00000174231,5mqf,0,None,0,-0.003732909,,
ENSG00000110107,ENSG00000100603,5mqf,0,None,0,0.009348693,,
ENSG00000110107,ENSG00000125743,5mqf,0,None,0,0.178148985,,
ENSG00000110107,ENSG00000163510,5mqf,0,None,0,0.043589793,,
ENSG00000110107,ENSG00000182004,5mqf,0,None,0,-0.003066605,,
ENSG00000110107,ENSG00000131876,5mqf,0,None,0,0.340193017,,
ENSG00000110107,ENSG00000086589,5mqf,0,None,0,-0.031399717,,
ENSG00000116752,ENSG00000182004,5mqf,0,None,0,-0.006335901,,
ENSG00000116752,ENSG00000131876,5mqf,0,None,0,0.206373258,,
ENSG00000116752,ENSG00000086589,5mqf,0,None,0,-0.017061913,,
ENSG00000117614,ENSG00000096401,5mqf,1,24.1,0,-0.013163408,,
ENSG00000117614,ENSG00000174231,5mqf,1,33.1,0,-0.116808025,,
ENSG00000117614,ENSG00000100603,5mqf,1,354.7,0,0.028719952,,
ENSG00000117614,ENSG00000101343,5mqf,1,540.5,0,0.284684328,,
ENSG00000117614,ENSG00000125835,5mqf,0,None,0,0,,
ENSG00000117614,ENSG00000125870,5mqf,0,None,0,0.043185397,,
ENSG00000117614,ENSG00000108883,5mqf,0,None,0,-0.125397684,,
ENSG00000117614,ENSG00000143977,5mqf,0,None,0,-0.022227344,,
ENSG00000117614,ENSG00000067596,5mqf,0,None,0,0.23740984,,
ENSG00000117614,ENSG00000139343,5mqf,0,None,0,-0.046972854,,
ENSG00000117614,ENSG00000171566,5mqf,0,None,0,0.007807798,,
ENSG00000117614,ENSG00000021776,5mqf,0,None,0,0.121100702,,
ENSG00000117614,ENSG00000110107,5mqf,0,None,0,-0.017983318,,
ENSG00000117614,ENSG00000076924,5mqf,0,None,0,0.191665249,,
ENSG00000117614,ENSG00000141543,5mqf,0,None,0,0.019210124,,
ENSG00000117614,ENSG00000084072,5mqf,0,None,0,0.093228846,,
ENSG00000117614,ENSG00000167978,5mqf,0,None,0,-0.1298954,,
ENSG00000117614,ENSG00000137168,5mqf,0,None,0,0.024739541,,
ENSG00000117614,ENSG00000100028,5mqf,0,None,0,-0.058281832,,
ENSG00000117614,ENSG00000168438,5mqf,0,None,0,0.050183325,,
ENSG00000117614,ENSG00000167088,5mqf,0,None,0,-0.003700333,,
ENSG00000117614,ENSG00000125743,5mqf,0,None,0,-0.15757981,,
ENSG00000117614,ENSG00000163510,5mqf,0,None,0,0.186406967,,
ENSG00000117614,ENSG00000116752,5mqf,0,None,0,-0.004040284,,
ENSG00000117614,ENSG00000182004,5mqf,0,None,0,-0.001134672,,
ENSG00000117614,ENSG00000131876,5mqf,0,None,0,0.04591995,,
ENSG00000117614,ENSG00000086589,5mqf,0,None,0,0.050912533,,
ENSG00000125743,ENSG00000163510,5mqf,0,None,0,0.044881559,,
ENSG00000125743,ENSG00000116752,5mqf,0,None,0,0.149394288,,
ENSG00000125743,ENSG00000131876,5mqf,0,None,0,0.187766499,,
ENSG00000125743,ENSG00000086589,5mqf,0,None,0,-0.04353515,,
ENSG00000125835,ENSG00000131876,5mqf,1,147.3,0,0,,
ENSG00000125835,ENSG00000167088,5mqf,1,194.7,0,0,,
ENSG00000125835,ENSG00000100028,5mqf,1,368.4,0,0,,
ENSG00000125835,ENSG00000125870,5mqf,0,None,0,0,,
ENSG00000125835,ENSG00000108883,5mqf,0,None,0,0,,
ENSG00000125835,ENSG00000143977,5mqf,0,None,0,0,,
ENSG00000125835,ENSG00000067596,5mqf,0,None,0,0,,
ENSG00000125835,ENSG00000139343,5mqf,0,None,0,0,,
ENSG00000125835,ENSG00000171566,5mqf,0,None,0,0,,
ENSG00000125835,ENSG00000021776,5mqf,0,None,0,0,,
ENSG00000125835,ENSG00000110107,5mqf,0,None,0,0,,
ENSG00000125835,ENSG00000076924,5mqf,0,None,0,0,,
ENSG00000125835,ENSG00000141543,5mqf,0,None,0,0,,
ENSG00000125835,ENSG00000084072,5mqf,0,None,0,0,,
ENSG00000125835,ENSG00000101343,5mqf,0,None,0,0,,
ENSG00000125835,ENSG00000167978,5mqf,0,None,0,0,,
ENSG00000125835,ENSG00000096401,5mqf,0,None,0,0,,
ENSG00000125835,ENSG00000137168,5mqf,0,None,0,0,,
ENSG00000125835,ENSG00000168438,5mqf,0,None,0,0,,
ENSG00000125835,ENSG00000174231,5mqf,0,None,0,0,,
ENSG00000125835,ENSG00000100603,5mqf,0,None,0,0,,
ENSG00000125835,ENSG00000125743,5mqf,0,None,0,0,,
ENSG00000125835,ENSG00000163510,5mqf,0,None,0,0,,
ENSG00000125835,ENSG00000116752,5mqf,0,None,0,0,,
ENSG00000125835,ENSG00000182004,5mqf,0,None,0,0,,
ENSG00000125835,ENSG00000086589,5mqf,0,None,0,0,,
ENSG00000125870,ENSG00000131876,5mqf,1,279.3,1,0.833033839,,
ENSG00000125870,ENSG00000116752,5mqf,0,None,0.05,0.270160254,,
ENSG00000125870,ENSG00000108883,5mqf,0,None,0,-0.004854597,,
ENSG00000125870,ENSG00000143977,5mqf,0,None,0,0.009790069,,
ENSG00000125870,ENSG00000067596,5mqf,0,None,0,0.037606588,,
ENSG00000125870,ENSG00000139343,5mqf,0,None,0,0.000370579,,
ENSG00000125870,ENSG00000171566,5mqf,0,None,0,0.250180252,,
ENSG00000125870,ENSG00000021776,5mqf,0,None,0,0.201072345,,
ENSG00000125870,ENSG00000110107,5mqf,0,None,0,0.386950774,,
ENSG00000125870,ENSG00000076924,5mqf,0,None,0,0.246085679,,
ENSG00000125870,ENSG00000141543,5mqf,0,None,0,0.343067576,,
ENSG00000125870,ENSG00000084072,5mqf,0,None,0,0.223666818,,
ENSG00000125870,ENSG00000101343,5mqf,0,None,0,0.009241235,,
ENSG00000125870,ENSG00000167978,5mqf,0,None,0,-0.0287133,,
ENSG00000125870,ENSG00000096401,5mqf,0,None,0,0.291021962,,
ENSG00000125870,ENSG00000137168,5mqf,0,None,0,-0.025469706,,
ENSG00000125870,ENSG00000100028,5mqf,0,None,0,0.09534959,,
ENSG00000125870,ENSG00000168438,5mqf,0,None,0,0.053058082,,
ENSG00000125870,ENSG00000167088,5mqf,0,None,0,0.213484228,,
ENSG00000125870,ENSG00000174231,5mqf,0,None,0,-0.008918039,,
ENSG00000125870,ENSG00000100603,5mqf,0,None,0,-0.024217389,,
ENSG00000125870,ENSG00000125743,5mqf,0,None,0,0.180363989,,
ENSG00000125870,ENSG00000163510,5mqf,0,None,0,0.028888409,,
ENSG00000125870,ENSG00000182004,5mqf,0,None,0,-0.003428547,,
ENSG00000125870,ENSG00000086589,5mqf,0,None,0,-0.027415076,,
ENSG00000131876,ENSG00000086589,5mqf,0,None,0,-0.029770585,,
ENSG00000137168,ENSG00000086589,5mqf,1,11.7,0,-0.008971125,,
ENSG00000137168,ENSG00000100603,5mqf,1,39.9,0,0.056668326,,
ENSG00000137168,ENSG00000100028,5mqf,0,None,0,-0.044666068,,
ENSG00000137168,ENSG00000168438,5mqf,0,None,0,-0.041243207,,
ENSG00000137168,ENSG00000167088,5mqf,0,None,0,-0.044572193,,
ENSG00000137168,ENSG00000174231,5mqf,0,None,0,-0.025086501,,
ENSG00000137168,ENSG00000125743,5mqf,0,None,0,-0.038591478,,
ENSG00000137168,ENSG00000163510,5mqf,0,None,0,-0.024362656,,
ENSG00000137168,ENSG00000116752,5mqf,0,None,0,-0.015453693,,
ENSG00000137168,ENSG00000182004,5mqf,0,None,0,-0.010874045,,
ENSG00000137168,ENSG00000131876,5mqf,0,None,0,-0.030561766,,
ENSG00000139343,ENSG00000171566,5mqf,0,None,0,0.017140227,,
ENSG00000139343,ENSG00000021776,5mqf,0,None,0,0.009642152,,
ENSG00000139343,ENSG00000110107,5mqf,0,None,0,0.008649668,,
ENSG00000139343,ENSG00000076924,5mqf,0,None,0,0.014124837,,
ENSG00000139343,ENSG00000141543,5mqf,0,None,0,0.007396604,,
ENSG00000139343,ENSG00000084072,5mqf,0,None,0,0.004097979,,
ENSG00000139343,ENSG00000101343,5mqf,0,None,0,-0.006599318,,
ENSG00000139343,ENSG00000167978,5mqf,0,None,0,0.011475151,,
ENSG00000139343,ENSG00000096401,5mqf,0,None,0,0.012845717,,
ENSG00000139343,ENSG00000137168,5mqf,0,None,0,-0.014772382,,
ENSG00000139343,ENSG00000100028,5mqf,0,None,0,0.027338687,,
ENSG00000139343,ENSG00000168438,5mqf,0,None,0,-0.026421381,,
ENSG00000139343,ENSG00000174231,5mqf,0,None,0,0.027557399,,
ENSG00000139343,ENSG00000100603,5mqf,0,None,0,0.032921775,,
ENSG00000139343,ENSG00000163510,5mqf,0,None,0,0.067903356,,
ENSG00000139343,ENSG00000116752,5mqf,0,None,0,0.010312128,,
ENSG00000139343,ENSG00000131876,5mqf,0,None,0,0.013155575,,
ENSG00000139343,ENSG00000086589,5mqf,0,None,0,0.038035827,,
ENSG00000141543,ENSG00000084072,5mqf,0,None,0,0.01689822,,
ENSG00000141543,ENSG00000101343,5mqf,0,None,0,0.01333611,,
ENSG00000141543,ENSG00000167978,5mqf,0,None,0,-0.000536885,,
ENSG00000141543,ENSG00000096401,5mqf,0,None,0,0.078670589,,
ENSG00000141543,ENSG00000137168,5mqf,0,None,0,-0.007712397,,
ENSG00000141543,ENSG00000100028,5mqf,0,None,0,-0.015909412,,
ENSG00000141543,ENSG00000168438,5mqf,0,None,0,0.037816793,,
ENSG00000141543,ENSG00000167088,5mqf,0,None,0,0.076545899,,
ENSG00000141543,ENSG00000174231,5mqf,0,None,0,-0.00993357,,
ENSG00000141543,ENSG00000100603,5mqf,0,None,0,0.085724253,,
ENSG00000141543,ENSG00000125743,5mqf,0,None,0,0.01591949,,
ENSG00000141543,ENSG00000163510,5mqf,0,None,0,0.028538586,,
ENSG00000141543,ENSG00000116752,5mqf,0,None,0,0.098951196,,
ENSG00000141543,ENSG00000182004,5mqf,0,None,0,-0.004512148,,
ENSG00000141543,ENSG00000131876,5mqf,0,None,0,0.328413304,,
ENSG00000141543,ENSG00000086589,5mqf,0,None,0,-0.005745618,,
ENSG00000143977,ENSG00000100028,5mqf,1,236.7,0,0.014607494,,
ENSG00000143977,ENSG00000067596,5mqf,0,None,0,0.108093959,,
ENSG00000143977,ENSG00000171566,5mqf,0,None,0,-0.000384324,,
ENSG00000143977,ENSG00000021776,5mqf,0,None,0,-0.015565698,,
ENSG00000143977,ENSG00000110107,5mqf,0,None,0,0.007377639,,
ENSG00000143977,ENSG00000076924,5mqf,0,None,0,-0.00880413,,
ENSG00000143977,ENSG00000141543,5mqf,0,None,0,0.010337824,,
ENSG00000143977,ENSG00000084072,5mqf,0,None,0,0.002585055,,
ENSG00000143977,ENSG00000101343,5mqf,0,None,0,-0.013082635,,
ENSG00000143977,ENSG00000167978,5mqf,0,None,0,0.022165176,,
ENSG00000143977,ENSG00000096401,5mqf,0,None,0,0.017828538,,
ENSG00000143977,ENSG00000137168,5mqf,0,None,0,-0.007336633,,
ENSG00000143977,ENSG00000168438,5mqf,0,None,0,0.088110203,,
ENSG00000143977,ENSG00000174231,5mqf,0,None,0,0.016445988,,
